date,produit,quantité,prix_unitaire,client_id
2023-04-09,Smartphone,1,1230.33,378
2023-07-03,Souris,4,1026.47,233
2023-08-03,Smartphone,3,864.22,46
2023-05-09,Imprimante,4,536.51,112
2023-08-31,Écran,1,153.93,441
2023-12-02,Casque,3,1487.52,496
2023-09-15,Imprimante,1,564.78,215
2023-07-18,Ordinateur,3,1173.0,437
2023-07-07,Clavier,2,1334.77,269
2023-06-04,Ordinateur,4,724.2,141
2023-12-31,Ordinateur,2,161.72,296
2023-02-18,Clavier,3,726.55,57
2023-07-05,Écran,1,1455.28,141
2023-04-08,Imprimante,1,481.33,314
2023-02-12,Casque,1,1446.21,469
2023-10-28,Smartphone,2,771.34,465
2023-11-17,Ordinateur,3,1398.75,233
2023-06-04,Smartphone,4,838.45,133
2023-06-21,Écran,3,650.86,296
2023-09-20,Écran,4,662.74,209
2023-03-03,Écran,2,1289.77,482
2023-07-03,Ordinateur,1,755.55,173
2023-03-26,Écran,1,485.28,417
2023-06-15,Imprimante,1,855.79,224
2023-03-02,Écran,3,532.37,149
2023-03-31,Clavier,3,1018.45,87
2023-05-19,Clavier,3,31.67,55
2023-11-24,Clavier,3,595.9,85
2023-10-25,Écran,2,742.04,471
2023-05-04,Ordinateur,4,243.44,53
2023-01-30,Écran,4,1329.86,289
2023-08-11,Casque,2,1015.75,219
2023-08-03,Clavier,2,274.65,492
2023-09-17,Écran,2,1184.73,468
2023-11-11,Clavier,3,765.57,90
2023-07-24,Imprimante,3,546.73,348
2023-01-10,Souris,3,293.05,355
2023-06-30,Smartphone,4,337.37,361
2023-10-15,Clavier,4,1167.31,219
2023-11-29,Smartphone,1,1294.07,497
2023-07-12,Écran,2,783.89,206
2023-02-24,Écran,3,607.34,359
2023-01-10,Écran,3,1150.63,222
2023-10-06,Ordinateur,3,96.72,206
2023-07-23,Clavier,1,213.3,22
2023-08-19,Casque,1,377.1,450
2023-11-25,Écran,3,593.31,216
2023-10-31,Casque,3,1482.54,332
2023-11-14,Ordinateur,2,795.49,307
2023-09-29,Ordinateur,4,1219.72,406
2023-04-22,Clavier,2,193.45,184
2023-09-06,Imprimante,3,603.57,438
2023-01-04,Écran,3,325.86,162
2023-11-13,Clavier,4,990.83,41
2023-03-26,Imprimante,2,962.93,269
2023-10-11,Imprimante,1,633.02,311
2023-06-22,Ordinateur,3,1425.77,94
2023-07-27,Souris,3,957.01,217
2023-03-08,Clavier,3,1145.04,157
2023-07-24,Imprimante,3,1249.73,40
2023-06-09,Imprimante,1,481.52,457
2023-08-09,Smartphone,3,991.59,331
2023-10-04,Écran,4,970.8,95
2023-02-21,Ordinateur,2,617.31,231
2023-01-21,Imprimante,3,980.85,217
2023-12-11,Écran,3,1055.41,480
2023-08-04,Souris,3,408.1,340
2023-09-18,Souris,1,345.09,140
2023-07-07,Imprimante,3,1453.78,328
2023-06-03,Casque,4,1169.32,133
2023-04-08,Écran,4,474.48,226
2023-01-16,Souris,2,1436.94,43
2023-07-14,Écran,2,536.43,467
2023-07-11,Écran,4,609.24,182
2023-02-22,Ordinateur,2,1109.49,207
2023-11-29,Clavier,3,841.95,376
2023-06-12,Clavier,3,1141.44,397
2023-05-18,Ordinateur,3,791.21,76
2023-11-16,Souris,3,624.39,154
2023-03-26,Imprimante,3,364.59,466
2023-06-14,Casque,2,183.57,58
2023-11-09,Souris,4,1450.44,211
2023-09-22,Ordinateur,3,250.85,325
2023-07-10,Ordinateur,1,1151.77,241
2023-11-19,Écran,3,827.88,40
2023-03-05,Imprimante,2,386.48,188
2023-09-24,Clavier,4,890.51,39
2023-01-06,Casque,2,44.12,256
2023-03-03,Clavier,2,236.01,96
2023-12-02,Smartphone,3,143.87,186
2023-12-12,Imprimante,3,1331.34,253
2023-08-11,Imprimante,1,104.54,29
2023-10-08,Casque,2,717.69,159
2023-04-11,Smartphone,1,1047.92,274
2023-05-29,Casque,3,1265.09,153
2023-01-14,Imprimante,3,317.89,22
2023-05-20,Imprimante,2,44.52,136
2023-10-17,Imprimante,4,1183.91,226
2023-10-09,Souris,4,719.57,110
2023-12-19,Écran,1,1422.67,81
2023-12-03,Smartphone,3,762.7,245
2023-01-02,Smartphone,2,1320.02,188
2023-06-15,Souris,3,1182.37,294
2023-12-18,Imprimante,3,1328.75,23
2023-11-07,Écran,2,1205.12,228
2023-03-27,Clavier,3,1226.76,238
2023-05-02,Casque,1,947.04,318
2023-05-17,Casque,4,483.02,277
2023-04-05,Smartphone,1,296.75,85
2023-04-15,Casque,2,29.36,178
2023-07-07,Souris,2,858.8,373
2023-07-25,Imprimante,2,547.31,108
2023-06-08,Écran,1,53.26,400
2023-12-25,Clavier,1,421.63,208
2023-11-15,Casque,1,1395.53,192
2023-04-21,Ordinateur,4,1203.37,52
2023-11-11,Casque,1,1404.84,142
2023-11-02,Casque,1,317.53,83
2023-06-14,Ordinateur,1,105.74,64
2023-11-06,Imprimante,3,957.51,4
2023-08-24,Écran,4,1262.59,54
2023-09-18,Écran,3,42.78,484
2023-02-12,Ordinateur,3,355.5,430
2023-11-19,Ordinateur,2,1036.3,128
2023-09-11,Souris,4,823.62,35
2023-02-24,Smartphone,1,71.44,97
2023-01-20,Souris,4,670.39,374
2023-10-21,Casque,3,916.75,49
2023-08-02,Smartphone,3,1066.37,64
2023-03-30,Souris,2,1150.41,335
2023-03-27,Ordinateur,3,155.86,404
2023-01-24,Clavier,1,682.45,62
2023-04-17,Smartphone,4,799.06,29
2023-02-10,Imprimante,2,1290.83,287
2023-02-15,Ordinateur,4,626.6,456
2023-10-07,Smartphone,1,844.87,474
2023-01-12,Souris,4,995.6,61
2023-06-25,Casque,4,109.26,308
2023-01-13,Souris,1,934.93,134
2023-12-23,Clavier,4,1182.15,86
2023-02-11,Ordinateur,3,565.26,88
2023-05-28,Ordinateur,2,149.78,428
2023-03-25,Souris,1,224.25,481
2023-07-11,Clavier,2,1077.93,285
2023-09-05,Ordinateur,4,137.33,156
2023-06-14,Casque,4,328.2,29
2023-05-19,Casque,3,43.02,19
2023-03-17,Smartphone,1,308.61,488
2023-07-04,Ordinateur,2,1149.4,203
2023-05-11,Casque,4,439.65,97
2023-08-02,Souris,4,442.69,472
2023-04-21,Souris,2,73.61,436
2023-10-03,Écran,4,1051.37,269
2023-04-05,Smartphone,1,1394.41,104
2023-03-08,Clavier,4,430.84,30
2023-12-16,Imprimante,4,43.24,117
2023-03-06,Casque,4,677.32,89
2023-02-20,Écran,2,1212.34,405
2023-04-11,Casque,2,75.31,227
2023-10-21,Clavier,3,785.1,172
2023-06-07,Smartphone,2,915.44,196
2023-05-28,Écran,3,1395.33,115
2023-03-28,Écran,1,1470.73,403
2023-03-22,Souris,4,156.25,327
2023-02-10,Souris,2,444.09,343
2023-07-11,Imprimante,3,1109.82,53
2023-06-15,Imprimante,1,1195.11,255
2023-08-11,Écran,4,603.28,196
2023-01-25,Casque,4,1453.05,123
2023-02-21,Casque,2,1347.18,427
2023-08-25,Écran,2,1097.59,334
2023-02-28,Clavier,4,16.42,418
2023-03-29,Imprimante,2,266.29,134
2023-04-30,Smartphone,3,873.95,255
2023-11-17,Clavier,4,707.04,214
2023-10-24,Clavier,1,757.66,19
2023-12-15,Ordinateur,1,501.45,266
2023-07-19,Smartphone,4,599.19,235
2023-06-09,Clavier,1,932.3,306
2023-07-01,Clavier,1,1266.76,35
2023-04-16,Clavier,3,1251.19,350
2023-06-03,Souris,4,600.62,169
2023-06-21,Smartphone,4,65.86,385
2023-03-08,Smartphone,4,109.24,36
2023-07-30,Casque,1,1398.34,27
2023-11-25,Souris,2,381.43,57
2023-12-28,Imprimante,1,881.74,121
2023-07-24,Souris,2,315.98,483
2023-02-01,Ordinateur,4,442.08,88
2023-10-02,Smartphone,4,211.1,447
2023-12-10,Souris,4,1454.1,4
2023-12-27,Écran,2,727.23,451
2023-05-09,Écran,3,993.88,274
2023-12-22,Casque,2,1111.99,306
2023-09-15,Souris,1,1249.47,171
2023-04-26,Souris,1,1018.59,82
2023-07-14,Smartphone,4,957.3,1
2023-10-25,Casque,3,1187.53,243
2023-11-26,Smartphone,1,162.44,41
2023-08-12,Clavier,3,997.09,395
2023-12-14,Smartphone,3,569.16,450
2023-11-15,Casque,2,942.56,95
2023-06-11,Imprimante,3,804.88,469
2023-04-24,Clavier,3,174.0,354
2023-04-24,Casque,1,366.6,483
2023-01-11,Clavier,4,1123.23,418
2023-02-13,Ordinateur,1,771.01,25
2023-07-18,Imprimante,4,436.59,489
2023-03-11,Écran,2,1085.25,173
2023-12-21,Casque,1,641.83,193
2023-03-12,Souris,3,325.26,194
2023-11-11,Imprimante,2,882.27,432
2023-05-22,Écran,2,1201.66,367
2023-05-30,Imprimante,3,1051.24,302
2023-09-04,Casque,3,722.75,29
2023-11-22,Clavier,2,425.92,88
2023-10-10,Ordinateur,3,49.47,492
2023-04-05,Casque,1,1107.11,491
2023-12-24,Écran,4,995.61,364
2023-04-08,Clavier,2,1424.47,329
2023-11-06,Souris,3,796.3,23
2023-03-31,Souris,2,173.93,309
2023-03-20,Imprimante,2,902.31,407
2023-02-23,Imprimante,3,567.95,81
2023-07-23,Écran,2,846.64,200
2023-03-16,Casque,3,1279.06,9
2023-05-24,Imprimante,4,1246.83,418
2023-04-10,Souris,1,553.04,175
2023-04-15,Clavier,1,185.15,312
2023-01-25,Écran,2,1033.5,148
2023-06-28,Souris,2,550.25,462
2023-01-21,Casque,4,749.42,178
2023-02-22,Clavier,4,427.59,82
2023-03-16,Ordinateur,3,269.64,439
2023-11-22,Souris,4,407.09,283
2023-09-25,Ordinateur,3,219.12,447
2023-01-06,Ordinateur,1,753.37,83
2023-01-22,Écran,2,1338.63,205
2023-07-01,Imprimante,1,1110.21,396
2023-06-25,Clavier,2,780.78,97
2023-10-11,Ordinateur,2,593.7,245
2023-12-26,Ordinateur,1,153.57,431
2023-12-20,Écran,2,818.87,271
2023-12-27,Casque,1,319.82,193
2023-11-02,Écran,2,683.15,369
2023-03-19,Écran,4,1291.49,381
2023-03-06,Écran,1,687.37,475
2023-10-07,Casque,1,911.34,356
2023-03-23,Ordinateur,4,639.24,133
2023-08-30,Casque,1,1238.75,364
2023-05-25,Imprimante,1,65.32,256
2023-09-30,Écran,4,1213.08,160
2023-05-26,Écran,2,11.9,295
2023-04-07,Imprimante,1,995.86,167
2023-12-07,Écran,3,21.91,403
2023-12-27,Casque,2,520.42,167
2023-07-03,Clavier,4,324.12,260
2023-11-15,Souris,4,952.22,305
2023-01-13,Imprimante,4,1116.18,283
2023-10-01,Souris,4,60.06,219
2023-05-21,Imprimante,4,386.95,73
2023-12-11,Souris,4,1038.04,288
2023-09-24,Smartphone,4,663.32,285
2023-03-14,Casque,4,721.75,438
2023-04-21,Clavier,2,469.49,283
2023-06-24,Écran,1,1393.62,34
2023-07-07,Casque,2,1384.07,335
2023-10-28,Écran,3,472.89,34
2023-05-21,Imprimante,3,635.29,362
2023-03-01,Imprimante,4,1479.23,436
2023-03-27,Souris,4,1013.75,500
2023-10-30,Smartphone,4,799.9,194
2023-09-10,Ordinateur,1,201.84,376
2023-06-27,Ordinateur,2,434.88,491
2023-02-06,Ordinateur,3,1399.75,4
2023-05-15,Smartphone,3,628.54,496
2023-03-24,Souris,2,1091.39,438
2023-09-29,Ordinateur,4,1401.96,285
2023-01-20,Ordinateur,3,1460.51,364
2023-08-28,Casque,4,1281.44,89
2023-12-11,Ordinateur,3,88.65,25
2023-09-25,Ordinateur,3,634.56,41
2023-05-04,Clavier,4,826.12,457
2023-09-18,Smartphone,2,799.23,263
2023-08-09,Imprimante,1,605.17,409
2023-02-07,Smartphone,1,299.62,16
2023-05-08,Smartphone,3,294.83,195
2023-05-20,Clavier,3,554.73,335
2023-07-30,Imprimante,2,1409.27,42
2023-11-01,Ordinateur,1,753.26,449
2023-03-01,Imprimante,1,859.01,377
